date,max_temp,min_temp
2021-07-01,25.0,11.2
2021-07-02,24.8,10.2
2021-07-03,26.4,12.0
2021-07-04,25.3,12.8
2021-07-05,19.8,11.7
2021-07-06,24.8,9.9
2021-07-07,26.2,10.6
2021-07-08,25.4,11.7
2021-07-09,25.0,11.2
2021-07-10,26.4,7.6
2021-07-11,27.7,10.4
2021-07-12,27.6,9.8
2021-07-13,24.3,12.1
2021-07-14,24.7,8.1
2022-07-01,22.1,6.7
2022-07-02,21.8,8.9
2022-07-03,21.4,9.6
2022-07-04,20.5,7.9
2022-07-05,22.2,9.4
2022-07-06,23.9,9.5
2022-07-07,24.1,9.8
2022-07-08,26.0,11.1
2022-07-09,27.0,13.3
2022-07-10,23.3,10.2
2022-07-11,24.3,6.4
2022-07-12,26.2,9.6
2022-07-13,26.2,12.4
2022-07-14,26.3,12.4
2023-07-01,21.3,8.5
2023-07-02,21.8,7.5
2023-07-03,21.3,7.1
2023-07-04,17.6,6.2
2023-07-05,19.7,3.5
2023-07-06,20.9,7.6
2023-07-07,21.2,4.1
2023-07-08,21.2,5.7
2023-07-09,22.4,9.3
2023-07-10,24.4,12.5
2023-07-11,23.2,9.7
2023-07-12,22.3,7.9
2023-07-13,21.6,9.4
2023-07-14,21.6,8.9
2024-07-01,17.7,7.4
2024-07-02,16.8,4.1
2024-07-03,16.8,5.0
2024-07-04,17.8,4.1
2024-07-05,21.3,5.8
2024-07-06,20.3,7.6
2024-07-07,21.3,6.8
2024-07-08,24.0,8.7
2024-07-09,26.7,10.7
2024-07-10,27.0,13.0
2024-07-11,28.7,12.2
2024-07-12,27.4,12.2
2024-07-13,28.0,12.1
2024-07-14,27.9,12.6
2025-07-01,25.2,10.1
2025-07-02,22.8,11.3
2025-07-03,21.9,10.1
2025-07-04,18.4,8.5
2025-07-05,17.8,8.3
2025-07-06,20.5,6.0
2025-07-07,23.2,6.8
2025-07-08,25.7,12.5
2025-07-09,25.7,11.8
2025-07-10,23.3,12.1
2025-07-11,22.0,7.9
2025-07-12,24.0,8.3
2025-07-13,26.4,9.9
2025-07-14,26.4,11.9
